id_node	label	x	y
79317	NP_217177.1	-366.77767285185655	2179.5898967916883
79315	NP_217176.1	-417.7817480771064	2044.584562625224
79308	NP_217100.1	-184.52786326699606	2033.6000283836556
79306	NP_217080.1	2427.98109151506	4219.775818606785
79304	NP_217079.1	2366.598728121943	4113.458446521251
79302	NP_216916.1	2182.4516379425922	4007.141074435717
79300	NP_216727.1	-325.11467051161435	1868.6410744357172
79298	NP_216726.1	2366.598728121943	3900.8237023501815
79296	NP_216348.1	-198.11467051161435	1738.6410744357172
79291	NP_216075.1	2419.0255253890564	4357.409654579443
79289	NP_216074.1	2419.0255253890564	3656.87249429199
79270	NP_215399.1	-299.3702599075359	2076.9866862032623
79251	NP_214851.1	2092.5816205577567	3884.3763476494814
79249	NP_214703.1	2427.98109151506	3794.506330264646
79246	NP_214584.1	-347.11467051161435	1760.6410744357172
79244	NP_214583.1	-258.11467051161435	1783.6410744357172
79242	NP_214548.1	2305.216364728826	4252.670528008185
79240	NP_214547.1	2243.834001335709	4113.458446521251
79238	NP_214546.1	2243.834001335709	3900.8237023501815
79237	NP_217808.1	2305.216364728826	4007.141074435717
79234	YP_177822.1	-636.8057656687724	2458.641074435717
79231	NP_216107.1	-682.5875839373984	2569.168161009932
79229	NP_216106.1	-793.1146705116143	2614.949979278558
79227	NP_216105.1	-903.6417570858302	2569.168161009932
79225	NP_216087.1	-949.4235753544554	2458.641074435717
79223	NP_216086.1	-903.6417570858302	2348.1139878615004
79221	NP_216084.1	-793.1146705116143	2302.3321695928744
79219	NP_215692.1	-1841.1146705116143	1507.6410744357163
79217	NP_215292.1	-259.11467051161435	1556.6410744357163
79215	NP_214603.1	-682.5875839373984	2348.1139878615004
79214	NP_217796.1	-793.1146705116143	2458.641074435717
79204	YP_177885.1	3272.7169837697393	-880.3589255642837
79202	YP_177884.1	3334.0993471628562	-986.6762976498185
79200	YP_177825.1	3518.246437342209	-880.3589255642837
79197	YP_177721.2	3164.7594948483284	-796.382906662755
79195	YP_177720.1	3164.7594948483284	-964.3349444658124
79189	NP_217980.1	3272.7169837697393	-1092.9936697353533
79186	NP_217738.1	3438.11745273239	-1122.158235035302
79183	NP_217572.1	3583.568184087203	-722.5356349947942
79181	NP_217571.1	3456.86407394909	-774.0415534787489
79179	NP_217570.1	3334.0993471628562	-774.0415534787489
79173	NP_217216.1	146.88532948838565	-402.3589255642837
79171	NP_217215.1	146.88532948838565	-366.3589255642837
79169	NP_216982.1	3456.86407394909	-986.6762976498185
79166	NP_216161.1	3438.11745273239	-638.5596160932655
79154	NP_215740.1	3583.568184087203	-1038.1822161337732
79152	NP_215739.2	3641.011164128443	-880.3589255642837
79134	NP_214656.1	3272.7169837697393	-667.7241813932142
79133	NP_217739.1	3395.481710555973	-880.3589255642837
79130	YP_177855.1	-2091.9970339047313	-653.0415534787489
79116	NP_217346.1	-2153.3793972978483	-759.3589255642837
79114	NP_217345.1	-1969.2323071184974	-865.6762976498185
79102	NP_216877.1	-1969.2323071184974	-653.0415534787489
79083	NP_216250.1	-2091.9970339047313	-865.6762976498185
79077	NP_215085.1	-1907.8499437253804	-759.3589255642837
79057	NP_217605.1	-953.9750574444615	-2145.272701728377
79055	NP_217604.1	-996.0259239660818	-2260.6109120824467
79053	NP_217603.1	-917.1655370332346	-2354.6971359183526
79051	NP_217602.1	-796.2542835787663	-2333.4451494001905
79049	NP_217601.1	-754.2034170571469	-2218.1069390461207
79047	NP_217600.1	-833.0638039899941	-2124.020715210214
79045	NP_217599.1	-875.1146705116143	-2239.3589255642837
79043	NP_217598.1	-898.1146705116143	-1977.3589255642837
79041	NP_216633.1	-1230.8077882418538	1953.7810309004753
79039	NP_216297.1	-760.1146705116143	2153.641074435717
79037	NP_215844.1	-560.1146705116143	2179.641074435717
79034	NP_215753.1	-1298.7164798671538	2056.0531568421948
79032	NP_215752.1	-1333.0799141835714	1885.8723392751754
79030	NP_215751.1	-1162.899096616553	1851.5089049587596
79028	NP_215750.1	-1128.5356623001362	2021.6897225257771
79027	NP_217596.1	-611.1146705116143	2096.641074435717
79024	NP_217518.1	1675.8853294883857	2204.641074435717
79022	NP_217420.1	-5073.114670511614	5561.020521784064
79020	NP_217304.1	994.8853294883857	2941.641074435717
79018	NP_217295.2	-5357.114670511614	5561.020521784064
79004	YP_177890.1	4378.535841170572	-1550.3589255642828
79001	YP_177777.1	4747.211369076581	-1975.8331658828038
78999	YP_177772.1	5169.997730121421	-1782.7531043112976
78996	NP_218293.1	5169.997730121421	-1317.9647468172707
78994	NP_217912.2	4986.951260266785	-1159.3540778036313
78992	NP_217887.3	4526.893778082577	-1225.5003577316993
78990	NP_217590.1	4562.855875915918	-1550.3589255642837
78988	NP_217531.1	4808.385329488386	-1795.8883791367525
78986	NP_217530.1	5053.914783060854	-1550.3589255642837
78984	NP_217355.1	4931.15005627462	-1337.7241813932142
78982	NP_217354.1	4869.767692881503	-1444.041553478749
78980	NP_217353.1	4685.620602702152	-1550.3589255642837
